"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
2809,22760,3605,3456,43.795,53.882,10.087,6414,3605,7061
2787,22725,3739,3379,42.706,51.778,9.071,6526,3739,7118
0,0,0,0,NA,NA,NA,0,0,0
