"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
2446,25506,3968,710,38.135,11.07,-27.066,6414,3968,4678
2200,25492,4326,612,33.711,9.378,-24.333,6526,4326,4938
0,0,0,0,NA,NA,NA,0,0,0
