"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
288,31109,1141,92,20.154,6.438,-13.716,1429,1141,1233
245,31649,601,135,28.96,15.957,-13.002,846,601,736
0,0,0,0,NA,NA,NA,0,0,0
