"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
292,30946,1137,255,20.434,17.845,-2.589,1429,1137,1392
68,31747,778,37,8.038,4.374,-3.664,846,778,815
0,0,0,0,NA,NA,NA,0,0,0
