"species","Long","Lat"
"Opuntia",36.99486,0.47013
"Opuntia",36.99451,0.47013
"Opuntia",36.99434,0.46984
"Opuntia",36.99413,0.46942
"Opuntia",36.99424,0.46899
"Opuntia",36.99451,0.46885
"Opuntia",36.99483,0.46877
"Opuntia",36.99519,0.46893
"Opuntia",36.99531,0.46932
"Opuntia",36.99595,0.46987
"Opuntia",36.99625,0.4705
"Opuntia",36.99634,0.47087
"Opuntia",36.97495,0.5124
"Opuntia",36.90456,0.5579
"Opuntia",36.90486,0.55971
"Opuntia",36.98778,0.49686
"Acacia",37.44087,0.43505
"Acacia",37.44583,0.40579
"Acacia",37.43986,0.45505
"Opuntia",37.10536,0.36967
"Opuntia",37.10557,0.36993
"Opuntia",37.10591,0.3703
"Opuntia",37.10618,0.37069
"Opuntia",37.10635,0.37091
"Opuntia",37.10655,0.37116
"Opuntia",37.10718,0.37186
"Opuntia",37.12491,0.3761
"Opuntia",37.12504,0.37673
"Opuntia",37.12511,0.3772
"Opuntia",37.12535,0.37724
"Opuntia",37.12469,0.37423
"Opuntia",37.12449,0.37349
"Opuntia",37.14642,0.36671
"Opuntia",37.14674,0.36705
"Opuntia",37.14703,0.36718
"Opuntia",37.14725,0.36747
"Opuntia",37.14707,0.36775
"Opuntia",37.1072,0.37186
"Opuntia",37.10629,0.37062
"Opuntia",37.10575,0.37043
"Opuntia",37.10541,0.37008
"Opuntia",37.10521,0.36982
"Opuntia",37.10456,0.3693
"Opuntia",37.10402,0.3695
"Opuntia",37.10384,0.36945
"Opuntia",37.10499,0.36893
"Opuntia",37.09043,0.36127
"Opuntia",37.0899,0.36101
"Opuntia",37.08858,0.36038
"Opuntia",37.34541,0.44146
"Opuntia",37.34541,0.44146
"Opuntia",37.34541,0.44146
"Opuntia",37.34379,0.44375
"Opuntia",36.849708139,0.50809073198
"Opuntia",36.8447652612,0.51205202238
"Opuntia",36.8520820168,0.51052264505
"Opuntia",36.8387295785,0.5187753303
"Opuntia",36.8301467744,0.52018012727
"Opuntia",36.8350180727,0.5231929107
"Opuntia",36.8314526145,0.52830845923
"Opuntia",36.847970924,0.52498578571
"Opuntia",36.851755841,0.52505179195
"Opuntia",36.8558870059,0.5264250809
"Opuntia",36.8630534272,0.52624857554
"Opuntia",36.8646699002,0.5280977874
"Opuntia",36.8504441985,0.52894276459
"Opuntia",36.8549961438,0.53047794262
"Opuntia",36.863838373,0.52976824894
"Opuntia",36.8658322824,0.52891421524
"Opuntia",36.8533701392,0.53596670479
"Opuntia",36.8561802949,0.53457213517
"Opuntia",36.8620065057,0.53506152046
"Opuntia",36.8639268736,0.53631896566
"Opuntia",36.8517991012,0.53961506621
"Opuntia",36.8573548916,0.54018628384
"Opuntia",36.8616034761,0.53762857206
"Opuntia",36.8263527189,0.54289418933
"Opuntia",36.8531391821,0.54500945802
"Opuntia",36.8550689048,0.54505657081
"Opuntia",36.8210106506,0.54793714078
"Opuntia",36.8533592609,0.54837314601
"Opuntia",36.8552770503,0.54758543957
"Opuntia",36.8292544852,0.55311693602
"Opuntia",36.8365767015,0.55460566016
"Opuntia",36.8438088596,0.55459120405
"Opuntia",36.85018549,0.55395444091
"Opuntia",36.850582658,0.55166866256
"Opuntia",36.8563013072,0.55196416397
"Opuntia",36.8594913294,0.55432661629
"Opuntia",36.8639169642,0.55453567962
"Opuntia",36.8629933501,0.55672426803
"Opuntia",36.8638529414,0.5570426474
"Opuntia",36.8377257058,0.56435759732
"Opuntia",36.8421239528,0.56362168014
"Opuntia",36.8482257289,0.56142565436
"Opuntia",36.851604634,0.5630993141
"Opuntia",36.8549595752,0.56157200734
"Opuntia",36.8616199856,0.56086004683
"Opuntia",36.8639532072,0.56203728932
"Opuntia",36.8397938504,0.56631367552
"Opuntia",36.8447090634,0.56642610544
"Opuntia",36.8476093217,0.56769130259
"Opuntia",36.8539138752,0.56498435897
"Opuntia",36.8573439479,0.56520297771
"Opuntia",36.8597907802,0.56814970616
"Opuntia",36.8644768084,0.56712310451
"Opuntia",36.8147207253,0.56940740238
"Opuntia",36.8224528207,0.57016179548
"Opuntia",36.8283007274,0.5692783606
"Opuntia",36.84323023,0.57073199454
"Opuntia",36.8476786033,0.57223718226
"Opuntia",36.8530742955,0.57264552072
"Opuntia",36.857330119,0.57187129292
"Opuntia",36.8595994971,0.56946589325
"Opuntia",36.8661183108,0.5728054582
"Opuntia",36.8178817851,0.57430557303
"Opuntia",36.8211923794,0.57683648956
"Opuntia",36.8256279107,0.57633600612
"Opuntia",36.8281325355,0.57524108985
"Opuntia",36.8339522901,0.57607027468
"Opuntia",36.8410403862,0.57567364172
"Opuntia",36.8439363157,0.57488093162
"Opuntia",36.8462999781,0.57441775103
"Opuntia",36.8536226504,0.57642469968
"Opuntia",36.8629529518,0.57728457959
"Opuntia",36.8678109381,0.57666953736
"Opuntia",36.8081544393,0.58241402008
"Opuntia",36.8137669303,0.57964659014
"Opuntia",36.8177838312,0.58268213062
"Opuntia",36.8233392038,0.5811841655
"Opuntia",36.8258065769,0.58090300667
"Opuntia",36.830670212,0.58166954775
"Opuntia",36.8359783671,0.58174932653
"Opuntia",36.8393122089,0.57843253299
"Opuntia",36.8427266545,0.57944072614
"Opuntia",36.8515405101,0.58223094144
"Opuntia",36.8618617095,0.58123412973
"Opuntia",36.864342623,0.58249084548
"Opuntia",36.8064290962,0.5857157602
"Opuntia",36.8136498668,0.58580144202
"Opuntia",36.8183193884,0.58332218037
"Opuntia",36.8229217433,0.58364763819
"Opuntia",36.8257642816,0.58641985174
"Opuntia",36.8289400135,0.5837173017
"Opuntia",36.8364523014,0.58403502527
"Opuntia",36.8385263242,0.58480303005
"Opuntia",36.8457566048,0.58503533931
"Opuntia",36.8493585737,0.58428173172
"Opuntia",36.8526139212,0.58348756931
"Opuntia",36.8579393353,0.58401801655
"Opuntia",36.8659001575,0.58668947117
"Opuntia",36.8078847569,0.58940479045
"Opuntia",36.8143921309,0.58959580186
"Opuntia",36.8167300577,0.58760418699
"Opuntia",36.8226123935,0.58853399295
"Opuntia",36.8246998591,0.59019129872
"Opuntia",36.8309438451,0.59070761931
"Opuntia",36.8363865166,0.58914857277
"Opuntia",36.8390592642,0.59159019921
"Opuntia",36.843689739,0.59061089463
"Opuntia",36.8489871757,0.58901173321
"Opuntia",36.8514814803,0.5906587847
"Opuntia",36.8586445205,0.58972117723
"Opuntia",36.8621492564,0.58993794407
"Opuntia",36.8654686943,0.59105588958
"Opuntia",36.7975397171,0.59616742725
"Opuntia",36.8060963355,0.59300113551
"Opuntia",36.8120388331,0.59187925305
"Opuntia",36.81729011,0.59628641157
"Opuntia",36.8217033735,0.59362562773
"Opuntia",36.8243317788,0.59363327214
"Opuntia",36.8312561803,0.59341757998
"Opuntia",36.8336683892,0.59531646561
"Opuntia",36.8397574637,0.59531164055
"Opuntia",36.842224665,0.59427489738
"Opuntia",36.8476604523,0.59423870676
"Opuntia",36.85088944,0.59234992947
"Opuntia",36.8572559061,0.5960927285
"Opuntia",36.8659817026,0.59364167054
"Opuntia",36.8694715416,0.59621560462
"Opuntia",36.7882623347,0.59669564334
"Opuntia",36.7975188541,0.59769543358
"Opuntia",36.8039426281,0.59706966809
"Opuntia",36.809757421,0.59997976541
"Opuntia",36.8104313179,0.5988445753
"Opuntia",36.8165110772,0.59922854876
"Opuntia",36.8198194454,0.59679953497
"Opuntia",36.8265911405,0.60048865355
"Opuntia",36.8285298196,0.59872369177
"Opuntia",36.834133708,0.59958079102
"Opuntia",36.8411311223,0.59779113305
"Opuntia",36.8450860524,0.60000850482
"Opuntia",36.8469388954,0.59974599342
"Opuntia",36.8532029578,0.60017961437
"Opuntia",36.8582882802,0.59858028441
"Opuntia",36.8705237443,0.59641827104
"Opuntia",36.7964704365,0.60165663434
"Opuntia",36.8031751072,0.60194953852
"Opuntia",36.8078103895,0.60357934509
"Opuntia",36.8131739172,0.60184854831
"Opuntia",36.8188198968,0.60309052438
"Opuntia",36.8228496434,0.60397951734
"Opuntia",36.8262920624,0.60431340923
"Opuntia",36.830288358,0.60403004461
"Opuntia",36.8356552175,0.60151834172
"Opuntia",36.8392168969,0.60185770356
"Opuntia",36.8453908558,0.60426511239
"Opuntia",36.8472271307,0.60187114405
"Opuntia",36.8524178893,0.60432061017
"Opuntia",36.8556462675,0.6042135282
"Opuntia",36.8626076423,0.60225829824
"Opuntia",36.8669095809,0.60165902236
"Opuntia",36.8713707883,0.60158484438
"Opuntia",36.8003988085,0.60829282403
"Opuntia",36.8048803085,0.60687642857
"Opuntia",36.805590963,0.60571220271
"Opuntia",36.81261952,0.60903111434
"Opuntia",36.8147210425,0.60712956495
"Opuntia",36.8201954983,0.60834709993
"Opuntia",36.8267348503,0.60659523091
"Opuntia",36.8284171782,0.6056020625
"Opuntia",36.8346236549,0.60945215629
"Opuntia",36.8385764654,0.60589267074
"Opuntia",36.8430304035,0.60790833235
"Opuntia",36.8465167175,0.60545029229
"Opuntia",36.8529752402,0.60824873933
"Opuntia",36.8549961719,0.60703545285
"Opuntia",36.8602168586,0.60582815669
"Opuntia",36.8695579385,0.60597572499
"Opuntia",36.7885829855,0.6121322522
"Opuntia",36.7941143194,0.61421072435
"Opuntia",36.7970755107,0.61225920613
"Opuntia",36.8081584624,0.61148004525
"Opuntia",36.8100887766,0.61095940878
"Opuntia",36.8160981681,0.61341498099
"Opuntia",36.8225349202,0.61416198505
"Opuntia",36.8244784809,0.61231680591
"Opuntia",36.8323436589,0.61346709371
"Opuntia",36.8353958845,0.61073496129
"Opuntia",36.838471181,0.61389622939
"Opuntia",36.8451132246,0.61168465968
"Opuntia",36.8499029057,0.61097225878
"Opuntia",36.8514061704,0.61341238862
"Opuntia",36.8553772442,0.61051525327
"Opuntia",36.8631727708,0.61051464623
"Opuntia",36.7922547531,0.61755373836
"Opuntia",36.8081247265,0.61610295781
"Opuntia",36.8136532219,0.6153246854
"Opuntia",36.8180085608,0.61519356484
"Opuntia",36.8205068304,0.61512136127
"Opuntia",36.8275297602,0.61744221975
"Opuntia",36.8309438085,0.61489442053
"Opuntia",36.8331968792,0.61600527166
"Opuntia",36.8395446227,0.61479567093
"Opuntia",36.8416969684,0.61885636582
"Opuntia",36.8487570464,0.61828539107
"Opuntia",36.8504745967,0.61581127327
"Opuntia",36.8592750334,0.61834071297
"Opuntia",36.801204222,0.62179792162
"Opuntia",36.8183612583,0.62158611207
"Opuntia",36.8217939563,0.62108451878
"Opuntia",36.8240413295,0.62027565654
"Opuntia",36.8318936141,0.62193202926
"Opuntia",36.8357253821,0.62230400097
"Opuntia",36.8403320767,0.62286705191
"Opuntia",36.842740437,0.6198574677
"Opuntia",36.8478016427,0.6219495986
"Opuntia",36.8506555375,0.6218850235
"Opuntia",36.8591069485,0.62314019603
"Opuntia",36.8169382631,0.62729538354
"Opuntia",36.8229735954,0.62584861498
"Opuntia",36.8266155244,0.62544199857
"Opuntia",36.8279344911,0.62769453358
"Opuntia",36.8338910698,0.62433277485
"Opuntia",36.8392915589,0.62431503969
"Opuntia",36.8427678096,0.62524581686
"Opuntia",36.8480523356,0.62430101499
"Opuntia",36.8511121215,0.62613854188
"Opuntia",36.8587035772,0.62461891313
