"algo","expl.var","Mean_Importance"
"RF","bio14","0.010203741"
"RF","bio15","0.008789852"
"RF","bio2","0.072525222"
"RF","bio3","0.034784333"
"RF","bio4","0.046051000"
"RF","bio6","0.035503889"
"RF","bio7","0.015884037"
"RF","ndvi","0.019880778"
"RF","pop","0.030401370"
