"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
87,31175,1191,76,6.808,5.947,-0.861,1278,1191,1267
194,30864,1425,46,11.983,2.841,-9.141,1619,1425,1471
0,0,0,0,NA,NA,NA,0,0,0
