"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","KAPPA",717,98.02,98.125,0.96,0.866,NA
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",717,98.02,98.125,0.961,0.84,NA
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",717,98.02,98.125,0.996,0.999,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",695,96.04,98.75,0.959,0.967,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",695,96.04,98.75,0.954,0.96,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",696,96.04,99.375,0.998,0.994,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",510,99.01,99.375,0.984,0.9,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",510,99.01,99.375,0.984,0.88,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",511,99.01,99.375,1,0.997,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","KAPPA",480,98.02,95.625,0.928,0.968,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",480,98.02,95.625,0.936,0.975,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",480.5,98.02,95.625,0.996,1,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",690,95.05,98.75,0.943,1,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",397,99.01,95.625,0.946,0.975,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",397.5,99.01,95.625,0.997,1,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",545,98.02,100,0.984,1,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",394,100,98.125,0.981,0.975,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",402,100,98.75,1,1,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","KAPPA",495,97.03,96.25,0.928,0.967,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","TSS",495,97.03,96.25,0.933,0.96,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","ROC",500,97.03,96.25,0.966,0.98,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",652,97.03,99.375,0.968,0.934,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",652,97.03,99.375,0.964,0.92,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",651.5,97.03,99.375,0.999,0.995,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",359,100,98.75,0.984,0.967,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",359,100,98.75,0.988,0.96,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",359,100,98.75,1,0.999,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","KAPPA",495,100,100,1,0.808,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",495,100,100,1,0.82,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","ROC",500,100,100,1,0.91,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",738,97.03,100,0.976,0.868,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",738,97.03,100,0.97,0.855,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",739.5,97.03,100,0.999,0.988,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",354,100,98.75,0.984,0.903,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",354,100,98.75,0.988,0.91,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",355,100,98.75,1,0.993,NA
