"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
111,31180,1167,71,8.685,5.556,-3.13,1278,1167,1238
337,30904,1282,6,20.815,0.371,-20.445,1619,1282,1288
0,0,0,0,NA,NA,NA,0,0,0
