"name","mean1","mean2","sd1","sd2","NA","NA"
"GBM",0.948,0.99725,0.94825,0.0103279555898864,0.000957427107756339,0.0047871355387817
"GLM",0.936,0.988,0.9385,0.025298221281347,0.0104880884817015,0.0242005509579155
"RF",0.98,0.9995,0.983,0.00461880215351701,0.000577350269189626,0.00627162924074227
