"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",384,100,99.375,0.992,0.836,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",384,100,99.375,0.994,0.83,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",387,100,99.375,1,0.962,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",653,97.059,99.375,0.968,0.934,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",393,100,96.875,0.969,0.82,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",392.5,100,96.875,0.999,0.98,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",333,99.02,99.375,0.984,0.872,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",333,99.02,99.375,0.984,0.885,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",309,100,98.75,1,0.978,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",576,97.059,99.375,0.968,0.902,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",576,97.059,99.375,0.964,0.895,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",577.5,97.059,99.375,0.999,0.992,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",343,100,99.375,0.992,0.968,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","TSS",343,100,99.375,0.994,0.975,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ROC",345,100,99.375,1,0.998,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","KAPPA",448,99.02,96.875,0.96,0.968,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","TSS",448,99.02,96.875,0.965,0.975,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ROC",450.5,99.02,97.5,0.998,0.997,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",328,100,95.625,0.945,1,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",328,100,95.625,0.956,1,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",330,100,95.625,0.998,1,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",508,97.059,95,0.912,0.968,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",508,97.059,95,0.921,0.975,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",403.5,100,92.5,0.993,1,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",283,100,97.5,0.968,0.811,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",283,100,97.5,0.975,0.835,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",285,100,97.5,0.999,0.963,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",433,98.039,97.5,0.952,0.811,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",433,98.039,97.5,0.955,0.835,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",434.5,98.039,97.5,0.996,0.952,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","KAPPA",283,100,96.875,0.96,0.903,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","TSS",283,100,96.875,0.969,0.91,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ROC",281,100,96.875,0.998,0.973,NA
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","KAPPA",542,97.059,96.875,0.936,0.836,NA
