"algo","expl.var","Mean_Importance"
"GBM","dec_ndvi",0.0121210833333333
"GBM","jul_ndvi",0.74006575
"GBM","jun_evi",0.00353366666666666
"GBM","mean_ndvi",0.000650000000000002
"GBM","oct_evi",0.0207558333333333
"GBM","pop_pul",0.081048
"GBM","sd_ndvi",0
"GLM","dec_ndvi",0.36630025
"GLM","jul_ndvi",0.840085833333333
"GLM","jun_evi",0
"GLM","mean_ndvi",0.474762916666667
"GLM","oct_evi",0.04061925
"GLM","pop_pul",0.22388475
"GLM","sd_ndvi",0
"RF","dec_ndvi",0.0202376666666667
"RF","jul_ndvi",0.177764666666667
"RF","jun_evi",0.0596470833333333
"RF","mean_ndvi",0.0101766666666667
"RF","oct_evi",0.00901133333333333
"RF","pop_pul",0.160248583333333
"RF","sd_ndvi",0
