"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
1875,25037,2340,3316,44.484,78.671,34.187,4215,2340,5656
525,18845,5767,7431,8.344,118.102,109.758,6292,5767,13198
0,0,0,0,NA,NA,NA,0,0,0
