"name","mean1","mean2","sd1","sd2","NA","NA"
"PA1",0.89,0.9825,0.893833333333333,0.0840499851278987,0.0144187378088375,0.0806930397659344
"PA2",0.861,0.982166666666667,0.873166666666667,0.0610933711625083,0.0106285778289791,0.0559729101143282
"PA3",0.887666666666667,0.987,0.890333333333333,0.0450273990661982,0.0069856996786292,0.0385209899492039
