"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
2398,29705,140,286,94.484,11.269,-83.215,2538,140,426
2711,29565,74,179,97.343,6.427,-90.916,2785,74,253
0,0,0,0,NA,NA,NA,0,0,0
