"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","KAPPA",495,95.238,78.75,0.682,0.349,NA
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",495,95.238,78.75,0.74,0.377,NA
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",500,95.238,78.75,0.87,0.689,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",510,100,92.5,0.895,0.718,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",510,100,92.5,0.925,0.718,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",510.5,100,92.5,0.987,0.973,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",440,100,98.75,0.982,0.784,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",440,100,98.75,0.988,0.768,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",441,100,98.75,1,0.968,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","KAPPA",495,100,100,1,0.559,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",495,100,100,1,0.536,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",500,100,100,1,0.768,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",528,97.619,93.75,0.911,0.706,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",528,97.619,93.75,0.926,0.677,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",531,97.619,95,0.987,0.955,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",467,100,98.75,0.982,0.706,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",467,100,98.75,0.988,0.677,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",469,100,98.75,0.999,0.959,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","KAPPA",592,90.476,83.75,0.706,0.655,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","TSS",592,90.476,83.75,0.742,0.668,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","ROC",593,90.476,83.75,0.916,0.895,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",500,100,92.5,0.895,0.706,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",500,100,92.5,0.925,0.677,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",501,100,92.5,0.988,0.959,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",374,100,97.5,0.964,0.706,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",374,100,97.5,0.975,0.677,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",371,100,97.5,0.999,0.986,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","KAPPA",495,100,100,1,0.577,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",495,100,100,1,0.577,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","ROC",500,100,100,1,0.789,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",536,100,95,0.929,0.372,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",536,100,95,0.95,0.418,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",534.5,100,95,0.991,0.809,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",566,97.619,100,0.982,0.497,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",566,97.619,100,0.976,0.486,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",567,97.619,100,0.999,0.914,NA
