"algo","expl.var","Mean_Importance"
"GBM","dec_ndvi","0.0114759167"
"GBM","jul_ndvi","0.0013526667"
"GBM","jun_evi","0.0082918333"
"GBM","mean_ndvi","0.0004315833"
"GBM","oct_evi","0.0014470000"
"GBM","pop_pul","0.0340010000"
"GBM","worldclim_KE_bio14","0.0120086667"
"GBM","worldclim_KE_bio15","0.0008867500"
"GBM","worldclim_KE_bio18","0.0028910000"
"GBM","worldclim_KE_bio2","0.0185201667"
"GBM","worldclim_KE_bio3","0.0348890000"
"GBM","worldclim_KE_bio4","0.3958926667"
"GBM","worldclim_KE_bio6","0.0059166667"
"GBM","worldclim_KE_bio7","0.0037075833"
"GLM","dec_ndvi","0.3715472500"
"GLM","jul_ndvi","0.4362870000"
"GLM","jun_evi","0.2987164167"
"GLM","mean_ndvi","0.3704335000"
"GLM","oct_evi","0.0404408333"
"GLM","pop_pul","0.3429506667"
"GLM","worldclim_KE_bio14","0.6206424167"
"GLM","worldclim_KE_bio15","0.1193290000"
"GLM","worldclim_KE_bio18","0.0662967500"
"GLM","worldclim_KE_bio2","0.0000000000"
"GLM","worldclim_KE_bio3","0.0000000000"
"GLM","worldclim_KE_bio4","0.3611070833"
"GLM","worldclim_KE_bio6","0.3770528333"
"GLM","worldclim_KE_bio7","0.7404674167"
"RF","dec_ndvi","0.0051478333"
"RF","jul_ndvi","0.0042028333"
"RF","jun_evi","0.0126630833"
"RF","mean_ndvi","0.0042765833"
"RF","oct_evi","0.0035709167"
"RF","pop_pul","0.0204707500"
"RF","worldclim_KE_bio14","0.0135225000"
"RF","worldclim_KE_bio15","0.0058299167"
"RF","worldclim_KE_bio18","0.0057492500"
"RF","worldclim_KE_bio2","0.0209965000"
"RF","worldclim_KE_bio3","0.0264749167"
"RF","worldclim_KE_bio4","0.0654453333"
"RF","worldclim_KE_bio6","0.0149870833"
"RF","worldclim_KE_bio7","0.0078624167"
