"Loss","Stable0","Stable1","Gain","PercLoss","PercGain","SpeciesRangeChange","CurrentRangeSize","FutureRangeSize.NoDisp","FutureRangeSize.FullDisp"
2028,29768,510,223,79.905,8.786,-71.119,2538,510,733
2143,29624,642,120,76.948,4.309,-72.639,2785,642,762
0,0,0,0,NA,NA,NA,0,0,0
