"algo","expl.var","Mean_Importance"
"RF","bio14","0.016975370"
"RF","bio15","0.095331741"
"RF","bio2","0.003858556"
"RF","bio3","0.001559667"
"RF","bio4","0.056272185"
"RF","bio6","0.021959963"
"RF","bio7","0.016184370"
"RF","ndvi","0.001872074"
"RF","pop","0.004969148"
