"Long","Lat","Opuntia","geometry"
36.90456,0.5579,1,c(36.90456, 0.5579)
36.90486,0.55971,1,c(36.90486, 0.55971)
36.98778,0.49686,1,c(36.98778, 0.49686)
37.10536,0.36967,1,c(37.10536, 0.36967)
37.10557,0.36993,1,c(37.10557, 0.36993)
37.10591,0.3703,1,c(37.10591, 0.3703)
37.10618,0.37069,1,c(37.10618, 0.37069)
37.10635,0.37091,1,c(37.10635, 0.37091)
37.10655,0.37116,1,c(37.10655, 0.37116)
37.10718,0.37186,1,c(37.10718, 0.37186)
37.12491,0.3761,1,c(37.12491, 0.3761)
37.12504,0.37673,1,c(37.12504, 0.37673)
37.12511,0.3772,1,c(37.12511, 0.3772)
37.12535,0.37724,1,c(37.12535, 0.37724)
37.12469,0.37423,1,c(37.12469, 0.37423)
37.12449,0.37349,1,c(37.12449, 0.37349)
37.14642,0.36671,1,c(37.14642, 0.36671)
37.14674,0.36705,1,c(37.14674, 0.36705)
37.14703,0.36718,1,c(37.14703, 0.36718)
37.14725,0.36747,1,c(37.14725, 0.36747)
37.14707,0.36775,1,c(37.14707, 0.36775)
37.1072,0.37186,1,c(37.1072, 0.37186)
37.10629,0.37062,1,c(37.10629, 0.37062)
37.10575,0.37043,1,c(37.10575, 0.37043)
37.10541,0.37008,1,c(37.10541, 0.37008)
37.10521,0.36982,1,c(37.10521, 0.36982)
37.10456,0.3693,1,c(37.10456, 0.3693)
37.10402,0.3695,1,c(37.10402, 0.3695)
37.10384,0.36945,1,c(37.10384, 0.36945)
37.10499,0.36893,1,c(37.10499, 0.36893)
37.09043,0.36127,1,c(37.09043, 0.36127)
37.0899,0.36101,1,c(37.0899, 0.36101)
37.08858,0.36038,1,c(37.08858, 0.36038)
37.34541,0.44146,1,c(37.34541, 0.44146)
37.34541,0.44146,1,c(37.34541, 0.44146)
37.34541,0.44146,1,c(37.34541, 0.44146)
37.34379,0.44375,1,c(37.34379, 0.44375)
36.849708139,0.50809073198,1,c(36.849708139, 0.50809073198)
36.8447652612,0.51205202238,1,c(36.8447652612, 0.51205202238)
36.8520820168,0.51052264505,1,c(36.8520820168, 0.51052264505)
36.8387295785,0.5187753303,1,c(36.8387295785, 0.5187753303)
36.8301467744,0.52018012727,1,c(36.8301467744, 0.52018012727)
36.8350180727,0.5231929107,1,c(36.8350180727, 0.5231929107)
36.8314526145,0.52830845923,1,c(36.8314526145, 0.52830845923)
36.847970924,0.52498578571,1,c(36.847970924, 0.52498578571)
36.851755841,0.52505179195,1,c(36.851755841, 0.52505179195)
36.8558870059,0.5264250809,1,c(36.8558870059, 0.5264250809)
36.8630534272,0.52624857554,1,c(36.8630534272, 0.52624857554)
36.8646699002,0.5280977874,1,c(36.8646699002, 0.5280977874)
36.8504441985,0.52894276459,1,c(36.8504441985, 0.52894276459)
36.8549961438,0.53047794262,1,c(36.8549961438, 0.53047794262)
36.863838373,0.52976824894,1,c(36.863838373, 0.52976824894)
36.8658322824,0.52891421524,1,c(36.8658322824, 0.52891421524)
36.8533701392,0.53596670479,1,c(36.8533701392, 0.53596670479)
36.8561802949,0.53457213517,1,c(36.8561802949, 0.53457213517)
36.8620065057,0.53506152046,1,c(36.8620065057, 0.53506152046)
36.8639268736,0.53631896566,1,c(36.8639268736, 0.53631896566)
36.8517991012,0.53961506621,1,c(36.8517991012, 0.53961506621)
36.8573548916,0.54018628384,1,c(36.8573548916, 0.54018628384)
36.8616034761,0.53762857206,1,c(36.8616034761, 0.53762857206)
36.8263527189,0.54289418933,1,c(36.8263527189, 0.54289418933)
36.8531391821,0.54500945802,1,c(36.8531391821, 0.54500945802)
36.8550689048,0.54505657081,1,c(36.8550689048, 0.54505657081)
36.8210106506,0.54793714078,1,c(36.8210106506, 0.54793714078)
36.8533592609,0.54837314601,1,c(36.8533592609, 0.54837314601)
36.8552770503,0.54758543957,1,c(36.8552770503, 0.54758543957)
36.8292544852,0.55311693602,1,c(36.8292544852, 0.55311693602)
36.8365767015,0.55460566016,1,c(36.8365767015, 0.55460566016)
