"Long","Lat","Acacia","geometry"
37.24858,0.57862,1,c(37.24858, 0.57862)
37.2484,0.57875,1,c(37.2484, 0.57875)
37.24839,0.57875,1,c(37.24839, 0.57875)
37.24801,0.57889,1,c(37.24801, 0.57889)
37.24762,0.57909,1,c(37.24762, 0.57909)
37.3033,0.58292,1,c(37.3033, 0.58292)
37.304,0.5824,1,c(37.304, 0.5824)
37.3041,0.58234,1,c(37.3041, 0.58234)
37.30556,0.58137,1,c(37.30556, 0.58137)
37.30621,0.5809,1,c(37.30621, 0.5809)
37.30791,0.57978,1,c(37.30791, 0.57978)
37.30985,0.57904,1,c(37.30985, 0.57904)
37.31196,0.57815,1,c(37.31196, 0.57815)
37.31349,0.57702,1,c(37.31349, 0.57702)
37.30743,0.57973,1,c(37.30743, 0.57973)
37.30117,0.58438,1,c(37.30117, 0.58438)
37.30815,0.57914,1,c(37.30815, 0.57914)
37.30696,0.579,1,c(37.30696, 0.579)
37.11651,0.58707,1,c(37.11651, 0.58707)
37.24734,0.58137,1,c(37.24734, 0.58137)
37.24822,0.58098,1,c(37.24822, 0.58098)
37.25044,0.57997,1,c(37.25044, 0.57997)
37.1178,0.58712,1,c(37.1178, 0.58712)
37.62405,0.50644,1,c(37.62405, 0.50644)
37.44087,0.43505,1,c(37.44087, 0.43505)
37.44583,0.40579,1,c(37.44583, 0.40579)
37.43986,0.45505,1,c(37.43986, 0.45505)
